result,year,size,no_datasource,no_visual,no_intera,,,,,,,
Shortlist,2020,Small,2,3,1,,,,,,,
Shortlist,2020,Big,1,4,2,,,,,,,
Shortlist,2020,Big,0,2,1,,,,,no_datasource,no_visual,no_intera
Shortlist,2020,Small,1,3,2,,,,average,1.43,3.14,1.78
Shortlist,2020,Big,2,5,2,,,,sd,0.80,1.51,1.17
Shortlist,2020,Small,1,4,2,,,,,,,
Shortlist,2020,Big,0,6,0,,,,,,,
Shortlist,2020,Big,1,3,1,,,,,,,
Shortlist,2020,Big,0,3,0,,,,,,,
Shortlist,2020,Big,1,2,0,,,,,,,
Shortlist,2020,Big,1,2,2,,,,,,,
Shortlist,2020,Small,1,1,1,,,,,,,
Shortlist,2020,Big,1,2,2,,,,,,,
Shortlist,2020,Big,1,4,2,,,,,,,
Shortlist,2020,Big,1,2,3,,,,,,,
Shortlist,2020,Small,1,2,3,,,,,,,
Shortlist,2020,Small,1,5,2,,,,,,,
Shortlist,2020,Small,1,1,2,,,,,,,
Shortlist,2020,Small,1,3,3,,,,,,,
Shortlist,2020,Big,1,4,2,,,,,,,
Shortlist,2020,Big,0,3,2,,,,,,,
Shortlist,2020,Small,1,1,4,,,,,,,
Shortlist,2020,Small,1,2,2,,,,,,,
Shortlist,2020,Small,2,5,2,,,,,,,
Shortlist,2020,Big,1,5,4,,,,,,,
Shortlist,2020,Big,2,1,0,,,,,,,
Shortlist,2020,Big,2,2,3,,,,,,,
Shortlist,2020,Big,1,5,1,,,,,,,
Shortlist,2020,Big,1,3,0,,,,,,,
Shortlist,2020,Big,1,4,1,,,,,,,
Shortlist,2020,Small,1,4,1,,,,,,,
Shortlist,2020,Big,1,3,1,,,,,,,
Shortlist,2020,Big,2,1,1,,,,,,,
Shortlist,2020,Big,2,5,3,,,,,,,
Shortlist,2020,Big,1,3,2,,,,,,,
Shortlist,2020,Big,1,1,4,,,,,,,
Shortlist,2020,Big,2,3,2,,,,,,,
Shortlist,2020,Big,3,1,1,,,,,,,
Shortlist,2020,Small,1,2,1,,,,,,,
Shortlist,2020,Small,3,2,1,,,,,,,
Shortlist,2020,Big,1,3,2,,,,,,,
Shortlist,2020,Big,2,1,0,,,,,,,
Shortlist,2020,Small,1,4,1,,,,,,,
Shortlist,2020,Small,1,3,2,,,,,,,
Shortlist,2020,Small,1,1,2,,,,,,,
Shortlist,2020,Small,1,3,4,,,,,,,
Shortlist,2020,Small,1,1,1,,,,,,,
Shortlist,2020,Big,3,3,1,,,,,,,
Shortlist,2020,Small,2,4,2,,,,,,,
Shortlist,2020,Big,2,2,2,,,,,,,
Shortlist,2020,Small,1,1,1,,,,,,,
